epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,735.889,1.12523,0.69526,0.80274,0.8204,0.8899,0.88313,0.61596,0.95937,0.60408,0.83638,0.000759318,0.000759318,0.000759318
57,748.393,1.20843,0.69544,0.78345,0.82783,0.88235,0.88626,0.60486,1.0438,0.6726,0.84768,0.000742815,0.000742815,0.000742815
58,760.777,1.16968,0.67733,0.79753,0.8135,0.8628,0.88387,0.6015,1.0598,0.63591,0.84197,0.000726312,0.000726312,0.000726312
59,773.199,1.11422,0.67833,0.79879,0.8847,0.84118,0.89141,0.61011,0.99761,0.59721,0.85442,0.000709809,0.000709809,0.000709809
60,785.714,1.09052,0.66557,0.79467,0.86367,0.85294,0.90173,0.63178,0.94955,0.58793,0.83093,0.000693305,0.000693305,0.000693305
61,798.499,1.12527,0.70608,0.80129,0.87339,0.89412,0.90306,0.63891,0.9159,0.59924,0.83363,0.000676802,0.000676802,0.000676802
62,811.464,1.16133,0.68844,0.79068,0.89369,0.88071,0.89812,0.62216,0.98573,0.59699,0.833,0.000660299,0.000660299,0.000660299
63,824.143,1.18662,0.69986,0.79588,0.86998,0.85882,0.87289,0.60182,0.97246,0.59412,0.8284,0.000643795,0.000643795,0.000643795
64,836.844,1.15507,0.65387,0.79524,0.91247,0.82353,0.87993,0.60457,0.97314,0.58994,0.83312,0.000627292,0.000627292,0.000627292
65,849.622,1.12454,0.66784,0.78061,0.89094,0.81176,0.87701,0.59403,1,0.62702,0.8322,0.000610789,0.000610789,0.000610789
66,862.353,1.08105,0.6447,0.79085,0.86507,0.85294,0.88064,0.62353,0.91086,0.57805,0.82427,0.000594286,0.000594286,0.000594286
67,875.173,1.03973,0.63338,0.79319,0.88562,0.85882,0.8831,0.63317,0.90011,0.58838,0.82181,0.000577782,0.000577782,0.000577782
68,887.681,1.0685,0.62529,0.80138,0.89121,0.85882,0.88839,0.62398,0.92695,0.60035,0.83217,0.000561279,0.000561279,0.000561279
69,900.389,1.06468,0.64391,0.7978,0.92111,0.84118,0.89124,0.64316,0.86059,0.57488,0.8237,0.000544776,0.000544776,0.000544776
70,913.007,1.05583,0.62258,0.79051,0.8756,0.87647,0.89937,0.65135,0.90229,0.57043,0.82681,0.000528272,0.000528272,0.000528272
71,925.654,1.0148,0.61303,0.80219,0.8885,0.86471,0.90887,0.64748,0.89424,0.56996,0.82691,0.000511769,0.000511769,0.000511769
72,938.218,1.07858,0.6494,0.795,0.86729,0.88824,0.90429,0.63087,0.93311,0.56841,0.82831,0.000495266,0.000495266,0.000495266
73,950.887,1.0855,0.64093,0.78065,0.87822,0.88824,0.90729,0.64366,0.94698,0.58339,0.83318,0.000478762,0.000478762,0.000478762
74,963.461,1.02726,0.6162,0.79711,0.89431,0.88235,0.899,0.63277,0.90975,0.59386,0.82346,0.000462259,0.000462259,0.000462259
75,976.076,1.08311,0.62617,0.77856,0.87978,0.85294,0.88995,0.62985,0.95344,0.60654,0.83238,0.000445756,0.000445756,0.000445756
76,988.935,1.12032,0.6444,0.79588,0.8685,0.85552,0.88785,0.61634,0.95603,0.60726,0.82854,0.000429253,0.000429253,0.000429253
77,1001.44,1.07633,0.63705,0.78346,0.84034,0.87647,0.88127,0.61502,0.95466,0.59785,0.83341,0.000412749,0.000412749,0.000412749
78,1014.13,1.07118,0.61205,0.78341,0.84997,0.86333,0.87843,0.63643,0.94243,0.57711,0.82997,0.000396246,0.000396246,0.000396246
79,1026.83,1.11794,0.63476,0.78649,0.85852,0.86014,0.89093,0.63672,0.92403,0.58807,0.8293,0.000379743,0.000379743,0.000379743
80,1039.57,1.07181,0.60702,0.77734,0.85212,0.89412,0.90335,0.64116,0.91157,0.55023,0.82834,0.000363239,0.000363239,0.000363239
81,1052.35,0.96569,0.59251,0.77355,0.86443,0.87647,0.89251,0.63787,0.91076,0.5426,0.82646,0.000346736,0.000346736,0.000346736
82,1065,1.01663,0.58992,0.78241,0.82565,0.89576,0.90124,0.63162,0.90175,0.56513,0.82599,0.000330233,0.000330233,0.000330233
83,1077.56,1.0681,0.6042,0.7745,0.89799,0.84706,0.9053,0.62956,0.92424,0.57289,0.82737,0.000313729,0.000313729,0.000313729
84,1090.43,1.00745,0.57154,0.77149,0.87725,0.85294,0.89685,0.647,0.90931,0.54859,0.82771,0.000297226,0.000297226,0.000297226
85,1103.4,1.04036,0.61,0.78159,0.84628,0.88652,0.8968,0.63009,0.92554,0.55232,0.82861,0.000280723,0.000280723,0.000280723
86,1116.11,0.98657,0.573,0.78401,0.86727,0.9082,0.90911,0.642,0.92346,0.54635,0.82692,0.00026422,0.00026422,0.00026422
87,1128.6,1.097,0.61764,0.78238,0.87922,0.87647,0.89933,0.63666,0.94044,0.56054,0.82967,0.000247716,0.000247716,0.000247716
88,1141.43,1.04476,0.59747,0.77941,0.89398,0.8927,0.90933,0.63905,0.91394,0.55112,0.82837,0.000231213,0.000231213,0.000231213
89,1154,1.05176,0.57742,0.76881,0.91027,0.87647,0.91042,0.64328,0.90798,0.5458,0.82763,0.00021471,0.00021471,0.00021471
90,1166.62,1.01893,0.57305,0.78686,0.87867,0.89965,0.90473,0.6499,0.88126,0.53877,0.82155,0.000198206,0.000198206,0.000198206
